"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.998,0.965,0.002,-0.035,0,0.001
-1,-1,0.1,1,0,1,-0.316,1.054,0.684,0.054,0.467,0.003
-1,-1,0.1,1,1,0,-1.637,0.825,-0.637,-0.175,0.406,0.03
-1,-1,0.1,1,1,1,-0.187,1.6,0.813,0.6,0.661,0.359
-1,-1,0.1,2,0,0,-1.861,3.252,-0.861,2.252,0.741,5.071
-1,-1,0.1,2,0,1,-0.522,3.355,0.478,2.355,0.229,5.544
-1,-1,0.1,2,1,0,-2.459,3.414,-1.459,2.414,2.129,5.83
-1,-1,0.1,2,1,1,-0.466,3.841,0.534,2.841,0.285,8.07
-1,-1,1,1,0,0,-0.983,0.604,0.017,-0.396,0,0.156
-1,-1,1,1,0,1,0.038,0.565,1.038,-0.435,1.077,0.189
-1,-1,1,1,1,0,-1.647,0.444,-0.647,-0.556,0.419,0.309
-1,-1,1,1,1,1,-1.611,0.489,-0.611,-0.511,0.373,0.262
-1,-1,1,2,0,0,-1.117,0.797,-0.117,-0.203,0.014,0.041
-1,-1,1,2,0,1,0.587,0.715,1.587,-0.285,2.517,0.081
-1,-1,1,2,1,0,-2.733,0.747,-1.733,-0.253,3.005,0.064
-1,-1,1,2,1,1,-2.598,0.737,-1.598,-0.263,2.553,0.069
-1,0,0.1,1,0,0,-1.003,0.966,-0.003,-0.034,0,0.001
-1,0,0.1,1,0,1,-0.317,1.054,0.683,0.054,0.466,0.003
-1,0,0.1,1,1,0,-1.643,0.833,-0.643,-0.167,0.414,0.028
-1,0,0.1,1,1,1,-0.198,1.601,0.802,0.601,0.644,0.361
-1,0,0.1,2,0,0,-1.856,3.235,-0.856,2.235,0.732,4.995
-1,0,0.1,2,0,1,-0.472,3.354,0.528,2.354,0.279,5.542
-1,0,0.1,2,1,0,-2.498,3.405,-1.498,2.405,2.243,5.785
-1,0,0.1,2,1,1,-0.444,3.82,0.556,2.82,0.309,7.955
-1,0,1,1,0,0,-0.994,0.607,0.006,-0.393,0,0.155
-1,0,1,1,0,1,0.072,0.562,1.072,-0.438,1.149,0.192
-1,0,1,1,1,0,-1.639,0.439,-0.639,-0.561,0.408,0.314
-1,0,1,1,1,1,1.254,0.353,2.254,-0.647,5.081,0.419
-1,0,1,2,0,0,-1.036,0.797,-0.036,-0.203,0.001,0.041
-1,0,1,2,0,1,0.628,0.721,1.628,-0.279,2.649,0.078
-1,0,1,2,1,0,2.063,0.65,3.063,-0.35,9.381,0.122
-1,0,1,2,1,1,2.118,0.651,3.118,-0.349,9.723,0.122
-1,1,0.1,1,0,0,-1.002,0.965,-0.002,-0.035,0,0.001
-1,1,0.1,1,0,1,-0.321,1.055,0.679,0.055,0.461,0.003
-1,1,0.1,1,1,0,-1.638,0.83,-0.638,-0.17,0.407,0.029
-1,1,0.1,1,1,1,-0.203,1.603,0.797,0.603,0.635,0.363
-1,1,0.1,2,0,0,-1.862,3.254,-0.862,2.254,0.743,5.079
-1,1,0.1,2,0,1,-0.514,3.352,0.486,2.352,0.236,5.534
-1,1,0.1,2,1,0,-2.511,3.411,-1.511,2.411,2.282,5.811
-1,1,0.1,2,1,1,-0.397,3.821,0.603,2.821,0.364,7.958
-1,1,1,1,0,0,-0.98,0.604,0.02,-0.396,0,0.157
-1,1,1,1,0,1,0.071,0.558,1.071,-0.442,1.148,0.195
-1,1,1,1,1,0,-1.624,0.44,-0.624,-0.56,0.389,0.313
-1,1,1,1,1,1,1.256,0.352,2.256,-0.648,5.089,0.42
-1,1,1,2,0,0,0.284,0.797,1.284,-0.203,1.648,0.041
-1,1,1,2,0,1,0.621,0.715,1.621,-0.285,2.626,0.081
-1,1,1,2,1,0,2.064,0.649,3.064,-0.351,9.39,0.123
-1,1,1,2,1,1,2.103,0.65,3.103,-0.35,9.63,0.123
0,-1,0.1,1,0,0,0.003,0.965,0.003,-0.035,0,0.001
0,-1,0.1,1,0,1,0.006,0.967,0.006,-0.033,0,0.001
0,-1,0.1,1,1,0,0.009,1.533,0.009,0.533,0,0.284
0,-1,0.1,1,1,1,-0.005,1.534,-0.005,0.534,0,0.285
0,-1,0.1,2,0,0,-0.042,3.288,-0.042,2.288,0.002,5.235
0,-1,0.1,2,0,1,0.01,3.304,0.01,2.304,0,5.309
0,-1,0.1,2,1,0,0.021,3.774,0.021,2.774,0,7.695
0,-1,0.1,2,1,1,-0.035,3.779,-0.035,2.779,0.001,7.721
0,-1,1,1,0,0,0.001,0.601,0.001,-0.399,0,0.159
0,-1,1,1,0,1,-0.043,0.6,-0.043,-0.4,0.002,0.16
0,-1,1,1,1,0,-1.376,0.414,-1.376,-0.586,1.892,0.343
0,-1,1,1,1,1,-1.371,0.423,-1.371,-0.577,1.88,0.333
0,-1,1,2,0,0,-0.721,0.793,-0.721,-0.207,0.52,0.043
0,-1,1,2,0,1,-0.302,0.796,-0.302,-0.204,0.091,0.042
0,-1,1,2,1,0,-2.223,0.679,-2.223,-0.321,4.942,0.103
0,-1,1,2,1,1,-2.259,0.688,-2.259,-0.312,5.103,0.097
0,0,0.1,1,0,0,0.002,0.968,0.002,-0.032,0,0.001
0,0,0.1,1,0,1,0,0.963,0,-0.037,0,0.001
0,0,0.1,1,1,0,-0.007,1.532,-0.007,0.532,0,0.283
0,0,0.1,1,1,1,0.003,1.534,0.003,0.534,0,0.285
0,0,0.1,2,0,0,-0.021,3.287,-0.021,2.287,0,5.229
0,0,0.1,2,0,1,-0.039,3.304,-0.039,2.304,0.002,5.31
0,0,0.1,2,1,0,-0.008,3.77,-0.008,2.77,0,7.674
0,0,0.1,2,1,1,-0.014,3.773,-0.014,2.773,0,7.687
0,0,1,1,0,0,-0.007,0.603,-0.007,-0.397,0,0.158
0,0,1,1,0,1,0.033,0.603,0.033,-0.397,0.001,0.158
0,0,1,1,1,0,-1.375,0.422,-1.375,-0.578,1.891,0.334
0,0,1,1,1,1,1.371,0.423,1.371,-0.577,1.881,0.333
0,0,1,2,0,0,0.424,0.796,0.424,-0.204,0.18,0.042
0,0,1,2,0,1,-0.206,0.796,-0.206,-0.204,0.042,0.042
0,0,1,2,1,0,2.249,0.688,2.249,-0.312,5.06,0.097
0,0,1,2,1,1,2.374,0.702,2.374,-0.298,5.637,0.089
0,1,0.1,1,0,0,0.003,0.962,0.003,-0.038,0,0.001
0,1,0.1,1,0,1,0.006,0.967,0.006,-0.033,0,0.001
0,1,0.1,1,1,0,-0.002,1.532,-0.002,0.532,0,0.283
0,1,0.1,1,1,1,0.002,1.536,0.002,0.536,0,0.287
0,1,0.1,2,0,0,-0.04,3.295,-0.04,2.295,0.002,5.268
0,1,0.1,2,0,1,0.008,3.302,0.008,2.302,0,5.297
0,1,0.1,2,1,0,-0.071,3.776,-0.071,2.776,0.005,7.704
0,1,0.1,2,1,1,-0.002,3.771,-0.002,2.771,0,7.681
0,1,1,1,0,0,-0.012,0.604,-0.012,-0.396,0,0.157
0,1,1,1,0,1,-0.003,0.604,-0.003,-0.396,0,0.157
0,1,1,1,1,0,1.369,0.424,1.369,-0.576,1.874,0.332
0,1,1,1,1,1,1.366,0.419,1.366,-0.581,1.867,0.337
0,1,1,2,0,0,0.688,0.795,0.688,-0.205,0.473,0.042
0,1,1,2,0,1,0.336,0.801,0.336,-0.199,0.113,0.04
0,1,1,2,1,0,2.374,0.7,2.374,-0.3,5.636,0.09
0,1,1,2,1,1,2.211,0.678,2.211,-0.322,4.889,0.104
1,-1,0.1,1,0,0,0.991,0.964,-0.009,-0.036,0,0.001
1,-1,0.1,1,0,1,0.338,1.088,-0.662,0.088,0.439,0.008
1,-1,0.1,1,1,0,1.637,0.829,0.637,-0.171,0.405,0.029
1,-1,0.1,1,1,1,0.192,1.602,-0.808,0.602,0.652,0.362
1,-1,0.1,2,0,0,1.893,3.244,0.893,2.244,0.798,5.036
1,-1,0.1,2,0,1,0.475,3.378,-0.525,2.378,0.276,5.654
1,-1,0.1,2,1,0,2.45,3.417,1.45,2.417,2.103,5.842
1,-1,0.1,2,1,1,0.415,3.821,-0.585,2.821,0.342,7.956
1,-1,1,1,0,0,0.951,0.604,-0.049,-0.396,0.002,0.157
1,-1,1,1,0,1,-0.097,0.588,-1.097,-0.412,1.203,0.17
1,-1,1,1,1,0,1.612,0.44,0.612,-0.56,0.375,0.313
1,-1,1,1,1,1,-1.255,0.349,-2.255,-0.651,5.087,0.424
1,-1,1,2,0,0,0.026,0.798,-0.974,-0.202,0.949,0.041
1,-1,1,2,0,1,-0.967,0.72,-1.967,-0.28,3.868,0.078
1,-1,1,2,1,0,-2.078,0.65,-3.078,-0.35,9.471,0.123
1,-1,1,2,1,1,-2.079,0.647,-3.079,-0.353,9.479,0.125
1,0,0.1,1,0,0,1.001,0.963,0.001,-0.037,0,0.001
1,0,0.1,1,0,1,0.344,1.085,-0.656,0.085,0.431,0.007
1,0,0.1,1,1,0,1.634,0.831,0.634,-0.169,0.402,0.028
1,0,0.1,1,1,1,0.189,1.601,-0.811,0.601,0.658,0.361
1,0,0.1,2,0,0,1.874,3.246,0.874,2.246,0.763,5.045
1,0,0.1,2,0,1,0.497,3.366,-0.503,2.366,0.253,5.596
1,0,0.1,2,1,0,2.459,3.417,1.459,2.417,2.129,5.842
1,0,0.1,2,1,1,0.382,3.812,-0.618,2.812,0.382,7.905
1,0,1,1,0,0,0.967,0.602,-0.033,-0.398,0.001,0.158
1,0,1,1,0,1,-0.098,0.587,-1.098,-0.413,1.205,0.171
1,0,1,1,1,0,1.637,0.441,0.637,-0.559,0.406,0.313
1,0,1,1,1,1,-1.258,0.351,-2.258,-0.649,5.098,0.422
1,0,1,2,0,0,0.442,0.798,-0.558,-0.202,0.311,0.041
1,0,1,2,0,1,-0.765,0.714,-1.765,-0.286,3.115,0.082
1,0,1,2,1,0,2.467,0.721,1.467,-0.279,2.151,0.078
1,0,1,2,1,1,-2.1,0.645,-3.1,-0.355,9.61,0.126
1,1,0.1,1,0,0,1.006,0.963,0.006,-0.037,0,0.001
1,1,0.1,1,0,1,0.342,1.087,-0.658,0.087,0.433,0.008
1,1,0.1,1,1,0,1.638,0.824,0.638,-0.176,0.407,0.031
1,1,0.1,1,1,1,0.199,1.601,-0.801,0.601,0.642,0.361
1,1,0.1,2,0,0,1.847,3.24,0.847,2.24,0.718,5.018
1,1,0.1,2,0,1,0.503,3.354,-0.497,2.354,0.247,5.543
1,1,0.1,2,1,0,2.45,3.424,1.45,2.424,2.103,5.873
1,1,0.1,2,1,1,0.412,3.816,-0.588,2.816,0.346,7.932
1,1,1,1,0,0,1.002,0.602,0.002,-0.398,0,0.159
1,1,1,1,0,1,-0.018,0.607,-1.018,-0.393,1.036,0.154
1,1,1,1,1,0,1.644,0.443,0.644,-0.557,0.414,0.31
1,1,1,1,1,1,1.6,0.488,0.6,-0.512,0.36,0.262
1,1,1,2,0,0,0.709,0.796,-0.291,-0.204,0.085,0.041
1,1,1,2,0,1,-0.637,0.72,-1.637,-0.28,2.679,0.078
1,1,1,2,1,0,2.521,0.731,1.521,-0.269,2.313,0.072
1,1,1,2,1,1,2.498,0.73,1.498,-0.27,2.244,0.073
